g_differ,p_differ,p2_ace,p2_fault,p2_dis,server,play1_out
4.0,3.0,1.0,1.0,20.3344,1.0,0.3190269082726731
3.0,5.0,2.0,2.0,9.69175,3.0,0.39674269726610095
4.0,2.0,1.0,2.0,16.814,1.0,0.2951063628362589
3.0,7.0,2.0,1.0,9.0395,3.0,0.41196109804119685
4.0,3.0,1.0,1.0,14.560375,1.0,0.26708745511600673
3.0,6.0,1.0,2.0,9.6352,3.0,0.3680200437185471
4.0,2.0,1.0,2.0,21.3692,1.0,0.33698320428661754
3.0,3.0,2.0,5.0,16.4288333333333,3.0,0.5284558752489034
2.0,3.0,1.0,2.0,14.316,1.0,0.24759109717865216
4.0,7.0,3.0,1.0,2.999,3.0,0.4616863511590297
5.0,5.0,1.0,1.0,10.429875,1.0,0.31446478771715636
6.0,7.0,1.0,1.0,14.7095,3.0,0.43565909397942587
7.0,3.0,1.0,3.0,22.478875,1.0,0.4493677172235064
6.0,5.0,1.0,3.0,19.6075,3.0,0.48488898541571523
7.0,3.0,1.0,1.0,14.519375,1.0,0.34882479634726
6.0,3.0,1.0,6.0,17.6975833333333,3.0,0.5442178931909205
5.0,1.0,1.0,2.0,8.97425,1.0,0.2518500745648573
4.0,6.0,3.0,1.0,6.3946,3.0,0.4574032602846822
5.0,3.0,1.0,2.0,23.6971666666667,1.0,0.3889513827298952
4.0,6.0,2.0,2.0,6.5804,3.0,0.42369648548775524
5.0,1.0,1.0,1.0,13.99075,1.0,0.2641727497500738
4.0,5.0,2.0,1.0,17.3252142857143,3.0,0.4272988392385048
4.0,3.0,1.0,2.0,17.5253333333333,1.0,0.3183519594365228
3.0,5.0,1.0,5.0,11.5388333333333,3.0,0.47209630003137965
4.0,3.0,1.0,2.0,22.1931666666667,1.0,0.35874381194756233
3.0,2.0,1.0,3.0,15.808,3.0,0.3573958026727557
2.0,2.0,1.0,2.0,7.0196,1.0,0.1485368440080241
1.0,5.0,1.0,2.0,8.98783333333333,3.0,0.31442101959189594
2.0,1.0,1.0,2.0,9.40825,1.0,0.15792513406246483
1.0,5.0,4.0,3.0,15.747375,3.0,0.572716661117491
2.0,2.0,1.0,2.0,18.2242,1.0,0.27136702983736444
4.0,6.0,1.0,2.0,9.5748,3.0,0.3840281007146668
5.0,5.0,1.0,1.0,19.8451666666667,1.0,0.37279294790105844
6.0,5.0,2.0,3.0,18.4328888888889,3.0,0.5489917404268295
7.0,3.0,1.0,2.0,11.621,1.0,0.3564796368032809
6.0,5.0,2.0,4.0,7.538125,3.0,0.5282789560463268
7.0,2.0,1.0,2.0,13.9718,1.0,0.3551355712022221
6.0,3.0,1.0,4.0,17.5243333333333,3.0,0.4774668745452894
5.0,2.0,1.0,1.0,10.2246,1.0,0.24587857128553525
4.0,6.0,2.0,2.0,10.0948,3.0,0.441342534084172
5.0,3.0,1.0,2.0,16.111125,1.0,0.3308192251448257
4.0,3.0,1.0,2.0,13.506,3.0,0.3385290970124694
3.0,3.0,1.0,1.0,24.007375,1.0,0.3348435959875411
